0.01,-0.039,1,-0.267,-0.427,0.641
0.012,-0.04,0.997,-0.282,-0.282,0.603
0.012,-0.039,0.997,-0.359,-0.122,0.481
0.011,-0.039,0.999,-0.122,-0.58,0.473
0.011,-0.039,0.997,-0.183,-1.137,0.381
0.009,-0.039,0.997,-0.305,-1.465,0.435
0.01,-0.036,0.997,-0.618,-1.45,0.534
0.009,-0.039,0.998,-0.374,-1.404,0.664
0.012,-0.037,0.999,-0.473,-1.503,0.748
0.013,-0.038,0.999,-0.824,-1.434,0.748
0.01,-0.037,1,-0.526,-1.045,0.862
0.012,-0.039,0.996,-0.221,-0.763,0.763
0.013,-0.037,0.999,-0.328,-1.19,0.74
0.011,-0.037,0.997,-0.946,-1.442,0.557
0.012,-0.039,1.001,-1.16,-1.617,0.481
0.014,-0.036,0.998,-1.03,-1.724,0.549
0.014,-0.036,0.998,-0.961,-1.64,0.519
0.014,-0.04,0.995,-0.816,-1.343,0.534
0.013,-0.037,0.999,-0.946,-1.053,0.595
0.014,-0.038,0.996,-0.908,-1.305,0.61
0.012,-0.038,0.999,-1.495,-1.663,0.435
0.012,-0.04,0.996,-1.785,-1.984,0.58
0.014,-0.039,0.995,-1.74,-2.167,0.626
0.016,-0.036,0.997,-1.694,-2.411,0.748
0.015,-0.037,1.002,-1.404,-1.671,0.755
0.014,-0.038,0.998,-1.083,-0.961,0.702
0.013,-0.038,0.994,-1.015,-0.603,0.748
0.014,-0.037,0.998,-1.045,-0.763,0.687
0.017,-0.037,1,-1.06,-1.488,0.71
0.013,-0.036,0.994,-0.519,-1.549,0.74
0.015,-0.036,0.993,-0.404,-2.129,0.717
0.016,-0.038,0.997,-0.328,-2.831,0.626
0.017,-0.036,1,0.023,-2.625,0.771
0.017,-0.038,0.997,0.465,-1.839,0.763
0.016,-0.038,0.996,0.916,-1.32,0.725
0.017,-0.039,0.997,0.824,-1.358,0.648
0.016,-0.037,0.994,0.664,-1.709,0.626
0.018,-0.035,0.997,0.847,-1.923,0.656
0.017,-0.035,1.001,0.732,-1.678,0.664
0.018,-0.034,1,0.412,-1.129,0.519
0.016,-0.035,1.001,0.076,-0.687,0.42
0.015,-0.036,1.001,-0.313,-0.74,0.549
0.017,-0.038,1,-0.618,-0.732,0.633
0.018,-0.039,0.997,-1.06,-0.656,0.565
0.018,-0.038,0.998,-1.289,-0.504,0.587
0.018,-0.038,1,-1.343,-0.282,0.648
0.019,-0.037,0.999,-1.045,-0.023,0.618
0.018,-0.037,0.996,-0.61,0.32,0.71
0.02,-0.038,0.997,-0.717,0.275,0.648
0.018,-0.036,0.996,-0.763,0.252,0.671
